123456
 Score: 627796.57  Generations: 411
 Score: 625375.91  Generations: 543
 Score: 625190.24  Generations: 584
 Score: 625256.46  Generations: 490
 Score: 625097.73  Generations: 737
 Score: 625380.78  Generations: 803
 Score: 625051.44  Generations: 584
 Score: 625249.45  Generations: 637
 Score: 625256.38  Generations: 675
 Score: 625310.2  Generations: 715
 Score: 625234.54  Generations: 810
 Score: 625272.26  Generations: 1574
 Score: 625051.44  Generations: 985
 Score: 625205.18  Generations: 1125
 Score: 625212.99  Generations: 1268
 Score: 625232.05  Generations: 1558
 Score: 625226.97  Generations: 1836
 Score: 625190.81  Generations: 2413
 Score: 625306.87  Generations: 5824
 Score: 625346.41  Generations: 5788
 Score: 626971.18  Generations: 37996
212392
 Score: 626777.18  Generations: 413
 Score: 625068.77  Generations: 436
 Score: 625304.51  Generations: 456
 Score: 625403.8  Generations: 481
 Score: 625249.29  Generations: 897
 Score: 625167.3  Generations: 957
 Score: 625149.38  Generations: 577
 Score: 625184.99  Generations: 608
 Score: 625386.9  Generations: 690
 Score: 625296.83  Generations: 715
 Score: 625357.36  Generations: 1416
 Score: 625243.14  Generations: 882
 Score: 625324.39  Generations: 967
 Score: 625177.94  Generations: 1120
 Score: 625248.38  Generations: 1291
 Score: 625199.4  Generations: 2701
 Score: 625482.17  Generations: 1818
 Score: 625116.46  Generations: 2367
 Score: 625287.7  Generations: 3270
 Score: 625036.83  Generations: 5562
 Score: 626992.24  Generations: 36413
310293
 Score: 667727.59  Generations: 413
 Score: 625233.87  Generations: 432
 Score: 625189.08  Generations: 445
 Score: 625363.55  Generations: 484
 Score: 625228.9  Generations: 909
 Score: 625067.61  Generations: 772
 Score: 625169.48  Generations: 794
 Score: 625274.14  Generations: 616
 Score: 625154.14  Generations: 683
 Score: 625141.56  Generations: 750
 Score: 625109.78  Generations: 1421
 Score: 624802.16  Generations: 1570
 Score: 625240.35  Generations: 996
 Score: 625418.33  Generations: 1132
 Score: 625260.42  Generations: 1278
 Score: 625049.1  Generations: 1501
 Score: 625031.45  Generations: 1880
 Score: 625280.99  Generations: 2366
 Score: 625267.87  Generations: 3308
 Score: 625490.43  Generations: 5314
 Score: 627484.8  Generations: 37356
429312
 Score: 628196.7  Generations: 408
 Score: 624937.56  Generations: 432
 Score: 625172.86  Generations: 472
 Score: 625105.2  Generations: 472
 Score: 625193.1  Generations: 913
 Score: 625184.03  Generations: 958
 Score: 624951.69  Generations: 580
 Score: 625064.39  Generations: 632
 Score: 625080.92  Generations: 660
 Score: 625074.45  Generations: 724
 Score: 625314.61  Generations: 782
 Score: 625220.55  Generations: 1248
 Score: 625308.42  Generations: 1019
 Score: 624903.22  Generations: 1516
 Score: 625214.99  Generations: 1293
 Score: 625285.88  Generations: 1480
 Score: 625086.07  Generations: 1854
 Score: 625370.72  Generations: 2355
 Score: 625268.99  Generations: 3404
 Score: 625222.01  Generations: 9957
 Score: 626769.23  Generations: 37729
523123
 Score: 626609.09  Generations: 415
 Score: 625321.04  Generations: 429
 Score: 625177.29  Generations: 413
 Score: 625268.86  Generations: 482
 Score: 625271.74  Generations: 521
 Score: 625261.49  Generations: 963
 Score: 625198.64  Generations: 566
 Score: 625032.97  Generations: 638
 Score: 625295.45  Generations: 595
 Score: 625306.82  Generations: 1284
 Score: 625197.47  Generations: 803
 Score: 625012.02  Generations: 1523
 Score: 625358.49  Generations: 975
 Score: 625305.98  Generations: 1074
 Score: 625168.4  Generations: 1297
 Score: 625277.71  Generations: 1571
 Score: 625190.66  Generations: 1833
 Score: 625272.13  Generations: 2396
 Score: 625203.19  Generations: 3379
 Score: 625060.38  Generations: 9801
 Score: 627229.4  Generations: 37259
