123456
 Score: 626237.2  Generations: 1427
 Score: 625564.58  Generations: 405
 Score: 625716.28  Generations: 224
 Score: 625428.66  Generations: 154
 Score: 625557.16  Generations: 218
 Score: 625173.72  Generations: 172
 Score: 625650.77  Generations: 82
 Score: 625557.56  Generations: 69
 Score: 625623.68  Generations: 64
 Score: 625254.88  Generations: 58
 Score: 625385.83  Generations: 53
 Score: 625581.01  Generations: 84
 Score: 625690.96  Generations: 45
 Score: 625443.63  Generations: 41
 Score: 625560.01  Generations: 42
 Score: 625627.57  Generations: 33
 Score: 625369.07  Generations: 32
 Score: 625541.95  Generations: 48
 Score: 625694.36  Generations: 30
 Score: 625468.95  Generations: 28
 Score: 625700.56  Generations: 71
212392
 Score: 626992.24  Generations: 1303
 Score: 625299.32  Generations: 401
 Score: 625299.32  Generations: 264
 Score: 625566.92  Generations: 158
 Score: 625527.85  Generations: 214
 Score: 625267.54  Generations: 178
 Score: 625526.74  Generations: 89
 Score: 625954.22  Generations: 71
 Score: 625184.61  Generations: 66
 Score: 625746.61  Generations: 59
 Score: 625465.69  Generations: 70
 Score: 625402.54  Generations: 65
 Score: 625554.73  Generations: 43
 Score: 625433.28  Generations: 63
 Score: 625540.02  Generations: 37
 Score: 625440.88  Generations: 36
 Score: 625545.47  Generations: 36
 Score: 625566.42  Generations: 31
 Score: 625566.42  Generations: 29
 Score: 625518.22  Generations: 28
 Score: 625330.15  Generations: 70
310293
 Score: 626955.76  Generations: 1481
 Score: 625506.58  Generations: 409
 Score: 625637.65  Generations: 224
 Score: 625213.17  Generations: 163
 Score: 625247.61  Generations: 185
 Score: 625247.75  Generations: 159
 Score: 625214.35  Generations: 86
 Score: 625151.89  Generations: 71
 Score: 625506.07  Generations: 67
 Score: 625293.17  Generations: 61
 Score: 625503.55  Generations: 54
 Score: 625315.96  Generations: 46
 Score: 625363.71  Generations: 75
 Score: 625615.73  Generations: 38
 Score: 625711.17  Generations: 37
 Score: 625524.09  Generations: 33
 Score: 625582.64  Generations: 33
 Score: 625415.32  Generations: 30
 Score: 625283.0  Generations: 51
 Score: 625617.82  Generations: 29
 Score: 625467.56  Generations: 72
429312
 Score: 626398.47  Generations: 1472
 Score: 625575.53  Generations: 414
 Score: 625334.43  Generations: 235
 Score: 625267.25  Generations: 158
 Score: 625230.48  Generations: 226
 Score: 625569.69  Generations: 174
 Score: 625462.79  Generations: 83
 Score: 625584.74  Generations: 70
 Score: 625497.83  Generations: 61
 Score: 625714.05  Generations: 58
 Score: 625246.16  Generations: 77
 Score: 625563.66  Generations: 83
 Score: 625218.55  Generations: 43
 Score: 625607.22  Generations: 39
 Score: 625422.95  Generations: 37
 Score: 625616.98  Generations: 34
 Score: 625155.03  Generations: 43
 Score: 625394.04  Generations: 31
 Score: 625683.93  Generations: 30
 Score: 625639.13  Generations: 28
 Score: 625481.53  Generations: 72
523123
 Score: 626819.21  Generations: 1445
 Score: 625273.09  Generations: 398
 Score: 625273.09  Generations: 230
 Score: 625273.09  Generations: 160
 Score: 625073.97  Generations: 220
 Score: 625351.05  Generations: 174
 Score: 625753.16  Generations: 84
 Score: 625774.98  Generations: 75
 Score: 625615.89  Generations: 61
 Score: 625439.68  Generations: 59
 Score: 625517.19  Generations: 51
 Score: 625385.71  Generations: 74
 Score: 625225.27  Generations: 46
 Score: 625697.36  Generations: 45
 Score: 625655.07  Generations: 39
 Score: 625511.9  Generations: 34
 Score: 625569.07  Generations: 32
 Score: 625483.96  Generations: 30
 Score: 625691.5  Generations: 49
 Score: 625562.6  Generations: 28
 Score: 625183.28  Generations: 66
