123456
 Score: 626971.18  Generations: 245
 Score: 625779.04  Generations: 219
 Score: 626027.9  Generations: 216
 Score: 625690.65  Generations: 140
 Score: 625826.42  Generations: 180
 Score: 625670.83  Generations: 102
 Score: 625623.01  Generations: 98
 Score: 625645.91  Generations: 86
 Score: 625791.01  Generations: 81
 Score: 625415.95  Generations: 73
 Score: 625420.94  Generations: 109
 Score: 625664.16  Generations: 68
 Score: 625699.12  Generations: 65
 Score: 625510.94  Generations: 57
 Score: 625598.32  Generations: 54
 Score: 625544.68  Generations: 53
 Score: 625632.93  Generations: 50
 Score: 625465.79  Generations: 80
 Score: 625484.76  Generations: 46
 Score: 625514.68  Generations: 46
 Score: 625683.84  Generations: 48
 Score: 625621.57  Generations: 60
 Score: 625923.3  Generations: 40
 Score: 625649.34  Generations: 36
 Score: 625696.36  Generations: 39
 Score: 625569.66  Generations: 40
 Score: 625668.64  Generations: 52
 Score: 625541.71  Generations: 35
 Score: 625696.36  Generations: 33
 Score: 625620.96  Generations: 34
 Score: 625656.58  Generations: 53
 Score: 625825.8  Generations: 31
 Score: 625729.17  Generations: 30
 Score: 625728.24  Generations: 28
 Score: 625799.79  Generations: 28
 Score: 625538.91  Generations: 27
 Score: 625483.05  Generations: 28
 Score: 625789.49  Generations: 27
 Score: 625614.15  Generations: 26
 Score: 625672.51  Generations: 40
 Score: 625369.24  Generations: 61
212392
 Score: 626834.93  Generations: 255
 Score: 625872.94  Generations: 196
 Score: 625922.79  Generations: 156
 Score: 625602.08  Generations: 186
 Score: 625768.67  Generations: 117
 Score: 625551.47  Generations: 133
 Score: 625436.24  Generations: 105
 Score: 625625.8  Generations: 140
 Score: 625769.02  Generations: 79
 Score: 625567.58  Generations: 70
 Score: 625588.3  Generations: 72
 Score: 625487.97  Generations: 68
 Score: 625677.71  Generations: 63
 Score: 625588.51  Generations: 58
 Score: 625492.43  Generations: 66
 Score: 625580.36  Generations: 51
 Score: 625567.1  Generations: 76
 Score: 625363.66  Generations: 49
 Score: 625358.73  Generations: 75
 Score: 625703.66  Generations: 47
 Score: 625525.6  Generations: 43
 Score: 625632.74  Generations: 41
 Score: 625468.64  Generations: 40
 Score: 625703.95  Generations: 40
 Score: 625786.77  Generations: 34
 Score: 625480.16  Generations: 62
 Score: 625564.74  Generations: 36
 Score: 625539.61  Generations: 36
 Score: 625656.8  Generations: 33
 Score: 625460.43  Generations: 54
 Score: 625665.5  Generations: 32
 Score: 625593.48  Generations: 51
 Score: 625485.41  Generations: 30
 Score: 625682.41  Generations: 28
 Score: 625679.68  Generations: 28
 Score: 625456.46  Generations: 28
 Score: 625680.01  Generations: 28
 Score: 625401.94  Generations: 47
 Score: 625610.39  Generations: 26
 Score: 625502.05  Generations: 25
 Score: 625503.38  Generations: 67
310293
 Score: 627074.19  Generations: 251
 Score: 626111.57  Generations: 190
 Score: 625928.55  Generations: 162
 Score: 625802.57  Generations: 145
 Score: 625557.17  Generations: 178
 Score: 625695.62  Generations: 183
 Score: 625676.9  Generations: 96
 Score: 625629.13  Generations: 93
 Score: 625836.66  Generations: 103
 Score: 625700.92  Generations: 74
 Score: 625744.85  Generations: 119
 Score: 625787.96  Generations: 73
 Score: 625609.32  Generations: 63
 Score: 625812.66  Generations: 62
 Score: 625774.68  Generations: 63
 Score: 625261.96  Generations: 59
 Score: 625412.5  Generations: 52
 Score: 625500.59  Generations: 61
 Score: 625401.21  Generations: 71
 Score: 625821.38  Generations: 47
 Score: 625884.26  Generations: 40
 Score: 625492.27  Generations: 43
 Score: 625664.97  Generations: 51
 Score: 625752.38  Generations: 38
 Score: 625259.32  Generations: 62
 Score: 625465.65  Generations: 36
 Score: 625663.89  Generations: 51
 Score: 625461.64  Generations: 37
 Score: 625616.28  Generations: 33
