123456
 Score: 79372.02  Generations: 719
 Score: 79560.45  Generations: 382
 Score: 79295.7  Generations: 230
 Score: 79697.56  Generations: 172
 Score: 79535.45  Generations: 149
 Score: 79589.86  Generations: 122
 Score: 79557.62  Generations: 94
 Score: 79511.05  Generations: 90
 Score: 79743.0  Generations: 78
 Score: 79596.95  Generations: 65
 Score: 79616.17  Generations: 67
 Score: 79448.96  Generations: 56
 Score: 79463.82  Generations: 51
 Score: 79405.86  Generations: 48
 Score: 79128.41  Generations: 42
 Score: 79671.54  Generations: 41
 Score: 79578.91  Generations: 39
 Score: 79379.2  Generations: 37
 Score: 79447.02  Generations: 34
 Score: 79657.33  Generations: 30
 Score: 79560.2  Generations: 49
 Score: 79597.39  Generations: 49
 Score: 79510.31  Generations: 45
 Score: 79368.11  Generations: 44
 Score: 79295.06  Generations: 44
212392
 Score: 79435.65  Generations: 745
 Score: 79506.42  Generations: 384
 Score: 79527.54  Generations: 242
 Score: 79451.09  Generations: 182
 Score: 79274.8  Generations: 141
 Score: 79715.59  Generations: 127
 Score: 79522.38  Generations: 99
 Score: 79591.29  Generations: 93
 Score: 79323.14  Generations: 77
 Score: 79534.12  Generations: 67
 Score: 79505.98  Generations: 66
 Score: 79673.69  Generations: 53
 Score: 79503.31  Generations: 50
 Score: 79577.22  Generations: 48
 Score: 79593.43  Generations: 43
 Score: 79463.47  Generations: 40
 Score: 79565.79  Generations: 39
 Score: 79695.6  Generations: 35
 Score: 79688.77  Generations: 34
 Score: 79779.03  Generations: 33
 Score: 79589.77  Generations: 55
 Score: 79412.61  Generations: 47
 Score: 79639.07  Generations: 46
 Score: 79563.55  Generations: 45
 Score: 79417.86  Generations: 43
310293
 Score: 79505.39  Generations: 794
 Score: 79674.25  Generations: 366
 Score: 79501.33  Generations: 259
 Score: 79560.58  Generations: 184
 Score: 79404.06  Generations: 140
 Score: 79471.09  Generations: 111
 Score: 79567.16  Generations: 99
 Score: 79537.93  Generations: 88
 Score: 79522.39  Generations: 88
 Score: 79350.8  Generations: 71
 Score: 79374.34  Generations: 59
 Score: 79710.1  Generations: 56
 Score: 79486.6  Generations: 53
 Score: 79326.51  Generations: 49
 Score: 79468.76  Generations: 45
 Score: 79427.16  Generations: 39
 Score: 79614.06  Generations: 38
 Score: 79641.16  Generations: 36
 Score: 79273.77  Generations: 33
 Score: 79470.42  Generations: 30
 Score: 79636.01  Generations: 54
 Score: 79562.22  Generations: 52
 Score: 79418.32  Generations: 48
 Score: 79463.1  Generations: 43
 Score: 79544.42  Generations: 43
429312
 Score: 79574.51  Generations: 713
 Score: 79434.56  Generations: 372
 Score: 79405.31  Generations: 252
 Score: 79514.69  Generations: 194
 Score: 79345.71  Generations: 141
 Score: 79375.43  Generations: 117
 Score: 79609.11  Generations: 99
 Score: 79651.91  Generations: 88
 Score: 79412.92  Generations: 78
 Score: 79493.5  Generations: 67
 Score: 79564.04  Generations: 69
 Score: 79458.59  Generations: 58
 Score: 79650.69  Generations: 56
 Score: 79355.82  Generations: 49
 Score: 79605.31  Generations: 43
 Score: 79487.81  Generations: 44
 Score: 79481.41  Generations: 41
 Score: 79767.15  Generations: 36
 Score: 79537.61  Generations: 35
 Score: 79554.57  Generations: 32
 Score: 79515.12  Generations: 51
 Score: 79546.91  Generations: 48
 Score: 79457.74  Generations: 49
 Score: 79566.68  Generations: 45
 Score: 79591.64  Generations: 43
523123
 Score: 79439.79  Generations: 782
 Score: 79713.86  Generations: 397
 Score: 79419.32  Generations: 245
 Score: 79551.27  Generations: 176
 Score: 79468.06  Generations: 150
 Score: 79549.3  Generations: 119
 Score: 79532.06  Generations: 101
 Score: 79609.49  Generations: 83
 Score: 79475.04  Generations: 77
 Score: 79543.08  Generations: 75
 Score: 79594.69  Generations: 62
 Score: 79478.1  Generations: 60
 Score: 79677.0  Generations: 56
 Score: 79587.96  Generations: 49
 Score: 79593.51  Generations: 46
 Score: 79714.19  Generations: 41
 Score: 79659.65  Generations: 35
 Score: 79663.09  Generations: 35
 Score: 79470.29  Generations: 35
 Score: 79623.11  Generations: 31
 Score: 79123.75  Generations: 53
 Score: 79397.34  Generations: 50
 Score: 79578.43  Generations: 48
 Score: 79557.17  Generations: 47
 Score: 79474.0  Generations: 44
612372
 Score: 79643.22  Generations: 697
 Score: 79513.16  Generations: 396
 Score: 79582.8  Generations: 251
 Score: 79482.68  Generations: 178
 Score: 79530.67  Generations: 150
 Score: 79221.08  Generations: 118
 Score: 79751.77  Generations: 106
 Score: 79773.09  Generations: 91
 Score: 79574.71  Generations: 73
 Score: 79679.37  Generations: 72
 Score: 79540.02  Generations: 58
 Score: 79575.76  Generations: 59
 Score: 79766.57  Generations: 50
 Score: 79537.54  Generations: 46
 Score: 79598.55  Generations: 42
 Score: 79576.53  Generations: 40
 Score: 79592.93  Generations: 37
 Score: 79610.65  Generations: 33
 Score: 79499.56  Generations: 33
 Score: 79730.76  Generations: 33
 Score: 79649.21  Generations: 49
 Score: 79351.82  Generations: 48
 Score: 79513.04  Generations: 45
