123456
 Score: 157012.03  Generations: 2578
 Score: 157000.02  Generations: 904
 Score: 157075.32  Generations: 609
 Score: 157217.6  Generations: 478
 Score: 157012.79  Generations: 525
 Score: 156930.94  Generations: 386
 Score: 157240.14  Generations: 270
 Score: 157205.8  Generations: 322
 Score: 157143.23  Generations: 214
 Score: 156874.14  Generations: 234
 Score: 157140.4  Generations: 170
 Score: 157206.51  Generations: 154
 Score: 157288.64  Generations: 145
 Score: 157151.64  Generations: 243
 Score: 157302.47  Generations: 124
 Score: 156882.56  Generations: 111
 Score: 157269.19  Generations: 110
 Score: 157122.33  Generations: 105
 Score: 157069.92  Generations: 188
 Score: 157229.49  Generations: 95
212392
 Score: 157279.01  Generations: 1802
 Score: 157420.7  Generations: 918
 Score: 157218.29  Generations: 617
 Score: 157122.21  Generations: 489
 Score: 156731.56  Generations: 688
 Score: 157071.3  Generations: 571
 Score: 157215.44  Generations: 264
 Score: 157281.88  Generations: 239
 Score: 157168.02  Generations: 212
 Score: 156984.33  Generations: 180
 Score: 157253.8  Generations: 249
 Score: 157149.14  Generations: 162
 Score: 157243.2  Generations: 145
 Score: 156883.75  Generations: 178
 Score: 157177.52  Generations: 129
 Score: 157085.57  Generations: 208
 Score: 157328.04  Generations: 111
 Score: 157220.49  Generations: 102
 Score: 157304.05  Generations: 97
 Score: 157256.25  Generations: 98
310293
 Score: 157209.49  Generations: 1873
 Score: 157181.04  Generations: 914
 Score: 157166.91  Generations: 613
 Score: 157011.01  Generations: 860
 Score: 156962.19  Generations: 382
 Score: 157098.71  Generations: 566
 Score: 157354.34  Generations: 266
 Score: 157192.08  Generations: 243
 Score: 157297.47  Generations: 216
 Score: 156814.21  Generations: 187
 Score: 157107.42  Generations: 297
 Score: 157174.06  Generations: 159
 Score: 157160.34  Generations: 154
 Score: 157299.78  Generations: 136
 Score: 157033.77  Generations: 124
 Score: 157073.84  Generations: 116
 Score: 157126.94  Generations: 118
 Score: 157020.04  Generations: 182
 Score: 157014.0  Generations: 97
 Score: 157210.57  Generations: 94
429312
 Score: 157160.29  Generations: 1838
 Score: 157143.46  Generations: 921
 Score: 157277.85  Generations: 605
 Score: 157312.36  Generations: 501
 Score: 157065.78  Generations: 435
 Score: 157088.49  Generations: 570
 Score: 157293.64  Generations: 267
 Score: 157338.26  Generations: 248
 Score: 157027.46  Generations: 208
 Score: 157061.23  Generations: 318
 Score: 157117.48  Generations: 166
 Score: 157083.62  Generations: 291
 Score: 157216.57  Generations: 147
 Score: 157314.07  Generations: 134
 Score: 157188.07  Generations: 125
 Score: 156906.53  Generations: 120
 Score: 157199.8  Generations: 111
 Score: 157026.73  Generations: 107
 Score: 157251.36  Generations: 99
 Score: 157261.4  Generations: 172
523123
 Score: 157228.33  Generations: 1839
 Score: 157096.35  Generations: 918
 Score: 157366.05  Generations: 600
 Score: 157225.76  Generations: 489
 Score: 157033.07  Generations: 705
 Score: 157033.07  Generations: 344
 Score: 157012.06  Generations: 451
 Score: 156880.6  Generations: 245
 Score: 157230.69  Generations: 213
 Score: 157205.69  Generations: 186
 Score: 157307.67  Generations: 170
 Score: 157144.01  Generations: 155
 Score: 157232.72  Generations: 147
 Score: 156974.65  Generations: 134
 Score: 157140.64  Generations: 225
 Score: 157186.22  Generations: 118
 Score: 157002.49  Generations: 114
 Score: 157242.41  Generations: 103
 Score: 156945.46  Generations: 175
 Score: 157046.05  Generations: 95
