123456
 Score: 626237.2  Generations: 15276
 Score: 625031.67  Generations: 4180
 Score: 625289.41  Generations: 4200
 Score: 625127.78  Generations: 1701
 Score: 625309.01  Generations: 1304
 Score: 625173.72  Generations: 1873
 Score: 625120.82  Generations: 883
 Score: 625202.33  Generations: 772
 Score: 625192.26  Generations: 679
 Score: 625254.88  Generations: 606
 Score: 625385.83  Generations: 535
 Score: 625220.84  Generations: 505
 Score: 625025.22  Generations: 466
 Score: 625180.84  Generations: 751
 Score: 625187.04  Generations: 388
 Score: 625183.66  Generations: 356
 Score: 625326.42  Generations: 409
 Score: 625212.73  Generations: 330
 Score: 625184.59  Generations: 472
 Score: 625342.28  Generations: 293
 Score: 625297.05  Generations: 749
212392
 Score: 626992.24  Generations: 15130
 Score: 625299.32  Generations: 4028
 Score: 625299.32  Generations: 2372
 Score: 625315.24  Generations: 1678
 Score: 625276.69  Generations: 2256
 Score: 625074.35  Generations: 1873
 Score: 625425.1  Generations: 873
 Score: 625263.64  Generations: 768
 Score: 625120.17  Generations: 669
 Score: 625168.62  Generations: 605
 Score: 625396.32  Generations: 538
 Score: 624951.94  Generations: 550
 Score: 625209.72  Generations: 789
 Score: 625374.95  Generations: 423
 Score: 625316.76  Generations: 390
 Score: 625189.13  Generations: 364
 Score: 625306.27  Generations: 344
 Score: 625110.87  Generations: 533
 Score: 625215.02  Generations: 305
 Score: 625455.7  Generations: 290
 Score: 625330.15  Generations: 726
310293
 Score: 626955.76  Generations: 15132
 Score: 625194.8  Generations: 7402
 Score: 625163.71  Generations: 2362
 Score: 625213.17  Generations: 1714
 Score: 625247.61  Generations: 1261
 Score: 625247.75  Generations: 1875
 Score: 625214.35  Generations: 880
 Score: 625151.89  Generations: 759
 Score: 625098.81  Generations: 653
 Score: 625293.17  Generations: 608
 Score: 625067.61  Generations: 968
 Score: 625144.02  Generations: 491
 Score: 625257.22  Generations: 805
 Score: 625115.13  Generations: 424
 Score: 625362.06  Generations: 392
 Score: 625231.61  Generations: 365
 Score: 625193.87  Generations: 346
 Score: 625415.32  Generations: 322
 Score: 625283.0  Generations: 310
 Score: 625341.29  Generations: 290
 Score: 625360.97  Generations: 740
429312
 Score: 626398.47  Generations: 12958
 Score: 625160.99  Generations: 4092
 Score: 625137.3  Generations: 3063
 Score: 625267.25  Generations: 1683
 Score: 625230.48  Generations: 1894
 Score: 625045.2  Generations: 1289
 Score: 625329.57  Generations: 888
 Score: 625161.29  Generations: 789
 Score: 625155.44  Generations: 1034
 Score: 625399.49  Generations: 606
 Score: 625246.16  Generations: 546
 Score: 625329.89  Generations: 504
 Score: 625218.55  Generations: 639
 Score: 625255.07  Generations: 425
 Score: 625368.51  Generations: 396
 Score: 625292.82  Generations: 365
 Score: 625155.03  Generations: 342
 Score: 625076.4  Generations: 453
 Score: 625356.84  Generations: 539
 Score: 625341.3  Generations: 296
 Score: 625412.33  Generations: 755
523123
 Score: 626819.21  Generations: 15397
 Score: 625267.22  Generations: 4217
 Score: 625273.09  Generations: 2385
 Score: 625273.09  Generations: 2294
 Score: 624947.62  Generations: 1646
 Score: 625297.18  Generations: 1597
 Score: 625381.03  Generations: 883
 Score: 625252.91  Generations: 775
 Score: 625092.96  Generations: 958
 Score: 625169.83  Generations: 600
 Score: 625297.69  Generations: 547
 Score: 625385.71  Generations: 493
 Score: 624965.01  Generations: 454
 Score: 625339.21  Generations: 747
 Score: 625224.43  Generations: 399
 Score: 625388.9  Generations: 361
 Score: 625253.19  Generations: 608
 Score: 625353.77  Generations: 322
 Score: 625203.17  Generations: 307
 Score: 625250.72  Generations: 289
 Score: 625183.28  Generations: 733
