123456
 Score: 625460.47  Generations: 487
 Score: 625372.65  Generations: 225
 Score: 625128.37  Generations: 163
 Score: 625326.97  Generations: 124
 Score: 625477.84  Generations: 106
 Score: 625479.0  Generations: 109
 Score: 625591.02  Generations: 70
 Score: 625135.51  Generations: 62
 Score: 625411.52  Generations: 46
 Score: 625224.16  Generations: 40
 Score: 625502.9  Generations: 54
 Score: 625466.92  Generations: 33
 Score: 625483.29  Generations: 32
 Score: 625484.06  Generations: 31
 Score: 625505.64  Generations: 26
 Score: 625439.93  Generations: 37
 Score: 625041.24  Generations: 23
 Score: 625707.17  Generations: 21
 Score: 625442.71  Generations: 29
 Score: 625670.54  Generations: 17
212392
 Score: 625485.03 | Num Colors: 16 | Generations: 453
 Score: 625410.14  Generations: 400
 Score: 625370.95  Generations: 255
 Score: 625177.18  Generations: 121
 Score: 625511.84  Generations: 94
 Score: 625658.73  Generations: 71
 Score: 625522.89  Generations: 62
 Score: 625153.72  Generations: 60
 Score: 625544.24  Generations: 47
 Score: 625593.42  Generations: 45
 Score: 625731.81  Generations: 34
 Score: 625517.6  Generations: 55
 Score: 625555.65  Generations: 39
 Score: 625421.09  Generations: 39
 Score: 625498.79  Generations: 26
 Score: 625603.84  Generations: 24
 Score: 625351.52  Generations: 35
 Score: 625735.17  Generations: 20
 Score: 625307.57  Generations: 20
 Score: 625598.02  Generations: 18
310293
 Score: 625422.42  Generations: 452
 Score: 625344.99  Generations: 368
 Score: 625459.31  Generations: 151
 Score: 625352.85  Generations: 166
 Score: 625305.01  Generations: 96
 Score: 625589.97  Generations: 73
 Score: 625269.47  Generations: 89
 Score: 625337.84  Generations: 55
 Score: 625735.73  Generations: 49
 Score: 625121.9  Generations: 51
 Score: 625257.74  Generations: 38
 Score: 625228.0  Generations: 35
 Score: 625254.26  Generations: 30
 Score: 625515.32  Generations: 54
 Score: 625609.95  Generations: 26
 Score: 625535.61  Generations: 45
 Score: 625313.72  Generations: 22
 Score: 625294.17  Generations: 20
 Score: 625405.47  Generations: 20
 Score: 625550.17  Generations: 18
429312
 Score: 625545.5  Generations: 453
 Score: 625343.12  Generations: 224
 Score: 625340.6  Generations: 172
 Score: 625311.2  Generations: 112
 Score: 625227.42  Generations: 159
 Score: 625572.54  Generations: 142
 Score: 625420.39  Generations: 63
 Score: 625476.59  Generations: 53
 Score: 625601.69  Generations: 46
 Score: 625508.04  Generations: 43
 Score: 625476.43  Generations: 71
 Score: 625664.1  Generations: 36
 Score: 625497.2  Generations: 34
 Score: 625296.49  Generations: 52
 Score: 625220.57  Generations: 26
 Score: 625573.8  Generations: 24
 Score: 625767.48  Generations: 22
 Score: 625554.38  Generations: 19
 Score: 625810.08  Generations: 21
 Score: 625567.67  Generations: 16
523123
 Score: 625321.63  Generations: 478
 Score: 625403.98  Generations: 238
 Score: 625328.91  Generations: 159
 Score: 624969.87  Generations: 218
 Score: 625488.39  Generations: 99
 Score: 625396.77  Generations: 142
 Score: 625161.24  Generations: 68
 Score: 625617.99  Generations: 57
 Score: 625510.37  Generations: 48
 Score: 625413.44  Generations: 43
 Score: 625456.07  Generations: 38
 Score: 625606.64  Generations: 62
 Score: 625686.71  Generations: 45
 Score: 625469.61  Generations: 28
 Score: 625754.44  Generations: 25
 Score: 625479.17  Generations: 37
 Score: 625598.71  Generations: 23
 Score: 625245.58  Generations: 20
 Score: 625723.12  Generations: 19
 Score: 625644.81  Generations: 18
612372
 Score: 625688.53  Generations: 496
 Score: 625479.24  Generations: 232
 Score: 625536.81  Generations: 151
 Score: 625324.87  Generations: 149
 Score: 625575.74  Generations: 94
 Score: 625273.2  Generations: 86
 Score: 625298.17  Generations: 83
 Score: 625573.77  Generations: 56
 Score: 625515.27  Generations: 64
 Score: 625679.19  Generations: 44
 Score: 625336.31  Generations: 53
 Score: 625425.3  Generations: 38
 Score: 625318.51  Generations: 29
 Score: 625318.55  Generations: 28
 Score: 625286.21  Generations: 26
 Score: 625343.73  Generations: 23
 Score: 625542.4  Generations: 21
 Score: 625462.67  Generations: 20
 Score: 625538.7  Generations: 19
 Score: 625184.38  Generations: 23
702938
 Score: 625420.75  Generations: 507
 Score: 625584.88  Generations: 240
 Score: 625373.45  Generations: 160
 Score: 625093.1  Generations: 125
 Score: 625608.06  Generations: 125
 Score: 625164.54  Generations: 97
 Score: 625689.91  Generations: 66
 Score: 625220.49  Generations: 53
 Score: 625234.05  Generations: 54
 Score: 625812.58  Generations: 38
 Score: 625529.64  Generations: 41
 Score: 625697.73  Generations: 35
 Score: 625419.22  Generations: 28
 Score: 625607.06  Generations: 30
 Score: 625646.87  Generations: 25
 Score: 625555.72  Generations: 24
 Score: 625388.72  Generations: 22
 Score: 625026.15  Generations: 27
 Score: 625557.9  Generations: 21
 Score: 625539.91  Generations: 24
811239
 Score: 625161.22  Generations: 699
 Score: 625241.16  Generations: 241
 Score: 625556.92  Generations: 200
 Score: 625151.04  Generations: 120
 Score: 625506.95  Generations: 107
 Score: 625698.49  Generations: 80
 Score: 625327.0  Generations: 60
 Score: 625608.89  Generations: 55
 Score: 625482.48  Generations: 44
 Score: 625455.62  Generations: 49
 Score: 625544.01  Generations: 49
 Score: 625365.95  Generations: 41
 Score: 625218.74  Generations: 33
 Score: 625503.37  Generations: 31
 Score: 625440.45  Generations: 37
 Score: 625304.68  Generations: 23
 Score: 625486.95  Generations: 21
 Score: 625287.9  Generations: 21
 Score: 625426.59  Generations: 18
 Score: 625323.61  Generations: 18
919203
 Score: 625879.41  Generations: 456
 Score: 625586.17  Generations: 235
 Score: 625689.03  Generations: 168
 Score: 625621.3  Generations: 124
 Score: 625244.11  Generations: 155
 Score: 625511.81  Generations: 82
 Score: 625108.97  Generations: 64
 Score: 625243.6  Generations: 92
 Score: 625197.97  Generations: 45
 Score: 625233.91  Generations: 43
 Score: 625321.37  Generations: 51
 Score: 625625.04  Generations: 50
 Score: 625811.89  Generations: 32
 Score: 625361.41  Generations: 27
 Score: 625239.6  Generations: 26
 Score: 625461.78  Generations: 24
 Score: 625462.47  Generations: 22
 Score: 625372.72  Generations: 36
 Score: 625348.87  Generations: 17
 Score: 625603.86  Generations: 18
102938
 Score: 625430.87  Generations: 465
 Score: 625330.67  Generations: 270
 Score: 625433.33  Generations: 167
 Score: 625402.17  Generations: 120
 Score: 625423.18  Generations: 95
 Score: 625196.51  Generations: 103
 Score: 625406.55  Generations: 75
 Score: 625360.5  Generations: 59
 Score: 625424.49  Generations: 47
 Score: 625489.21  Generations: 51
 Score: 625417.25  Generations: 42
 Score: 625387.87  Generations: 33
 Score: 625642.8  Generations: 30
 Score: 625234.86  Generations: 25
 Score: 625612.12  Generations: 25
 Score: 625678.91  Generations: 32
 Score: 625491.95  Generations: 26
 Score: 625461.88  Generations: 33
 Score: 625785.04  Generations: 18
 Score: 625485.49  Generations: 18
112930
 Score: 625282.12  Generations: 464
 Score: 625579.29  Generations: 244
 Score: 625431.65  Generations: 154
 Score: 625517.92  Generations: 201
 Score: 625274.87  Generations: 147
 Score: 625584.71  Generations: 79
 Score: 625703.95  Generations: 64
 Score: 625503.95  Generations: 57
 Score: 625340.01  Generations: 47
 Score: 625658.81  Generations: 42
 Score: 625296.52  Generations: 37
 Score: 625713.12  Generations: 45
 Score: 625657.85  Generations: 39
 Score: 625663.64  Generations: 30
 Score: 625322.57  Generations: 26
 Score: 625381.09  Generations: 22
 Score: 625470.21  Generations: 24
 Score: 625552.04  Generations: 19
 Score: 625558.11  Generations: 27
 Score: 625715.19  Generations: 21
123290
 Score: 625452.03  Generations: 601
 Score: 625759.73  Generations: 298
 Score: 625317.6  Generations: 150
 Score: 625147.61  Generations: 112
 Score: 625568.91  Generations: 120
 Score: 625514.23  Generations: 79
 Score: 625286.45  Generations: 61
 Score: 625463.7  Generations: 64
 Score: 625635.26  Generations: 50
 Score: 625476.75  Generations: 45
 Score: 625600.66  Generations: 36
 Score: 625652.48  Generations: 34
 Score: 625296.27  Generations: 46
 Score: 625700.47  Generations: 28
 Score: 625561.62  Generations: 24
 Score: 625414.22  Generations: 30
 Score: 625440.03  Generations: 24
 Score: 625537.53  Generations: 21
 Score: 625522.17  Generations: 31
 Score: 625830.76  Generations: 16
139248
 Score: 625361.8  Generations: 505
