123456
 Score: 625755.08  Generations: 462
 Score: 625556.7  Generations: 222
 Score: 625746.36  Generations: 137
 Score: 625587.54  Generations: 124
 Score: 625447.07  Generations: 95
 Score: 625761.51  Generations: 61
 Score: 625666.23  Generations: 65
 Score: 625655.37  Generations: 56
 Score: 625731.28  Generations: 48
 Score: 625478.46  Generations: 38
 Score: 625561.98  Generations: 36
 Score: 625668.78  Generations: 41
 Score: 625726.29  Generations: 27
 Score: 625507.4  Generations: 36
 Score: 625689.59  Generations: 32
 Score: 625738.46  Generations: 27
 Score: 625941.77  Generations: 19
 Score: 625497.76  Generations: 19
 Score: 625892.26  Generations: 17
 Score: 625900.12  Generations: 17
 Score: 625640.67  Generations: 32
 Score: 625747.81  Generations: 31
 Score: 625598.9  Generations: 30
 Score: 625284.47  Generations: 28
 Score: 625593.31  Generations: 27
212392
 Score: 625515.43  Generations: 439
 Score: 625955.88  Generations: 209
 Score: 625339.1  Generations: 131
 Score: 625623.07  Generations: 110
 Score: 625769.02  Generations: 79
 Score: 625413.61  Generations: 74
 Score: 625600.7  Generations: 58
 Score: 625722.29  Generations: 47
 Score: 625471.0  Generations: 43
 Score: 625557.86  Generations: 35
 Score: 625547.93  Generations: 32
 Score: 625735.68  Generations: 34
 Score: 625850.76  Generations: 35
 Score: 625459.1  Generations: 27
 Score: 625559.68  Generations: 22
 Score: 625717.43  Generations: 21
 Score: 625686.58  Generations: 18
 Score: 625997.35  Generations: 18
 Score: 625594.15  Generations: 18
 Score: 625394.0  Generations: 17
 Score: 625614.84  Generations: 31
 Score: 625546.54  Generations: 30
 Score: 625580.51  Generations: 28
 Score: 625502.02  Generations: 26
 Score: 625455.24  Generations: 25
310293
 Score: 625656.88  Generations: 417
 Score: 625584.82  Generations: 223
 Score: 625956.89  Generations: 133
 Score: 625830.47  Generations: 103
 Score: 625836.66  Generations: 116
 Score: 625350.92  Generations: 113
 Score: 625467.58  Generations: 72
 Score: 625646.82  Generations: 46
 Score: 625406.59  Generations: 43
 Score: 625538.48  Generations: 37
 Score: 625504.71  Generations: 34
 Score: 625444.87  Generations: 32
 Score: 625627.21  Generations: 38
 Score: 625841.86  Generations: 25
 Score: 625730.38  Generations: 23
 Score: 625557.19  Generations: 32
 Score: 625645.87  Generations: 19
 Score: 625472.42  Generations: 34
 Score: 625812.25  Generations: 19
 Score: 625316.6  Generations: 17
 Score: 625763.62  Generations: 33
 Score: 625351.04  Generations: 30
 Score: 625288.45  Generations: 30
 Score: 625621.48  Generations: 29
 Score: 625401.48  Generations: 27
429312
 Score: 625442.92  Generations: 436
 Score: 625427.51  Generations: 215
 Score: 625533.78  Generations: 147
 Score: 625540.62  Generations: 106
 Score: 625847.49  Generations: 142
 Score: 625682.68  Generations: 116
 Score: 625791.21  Generations: 59
 Score: 625726.44  Generations: 48
 Score: 625840.97  Generations: 47
 Score: 625590.98  Generations: 39
 Score: 625411.41  Generations: 37
 Score: 625435.16  Generations: 32
 Score: 625772.74  Generations: 33
 Score: 625666.31  Generations: 27
 Score: 625594.46  Generations: 29
 Score: 625605.08  Generations: 20
 Score: 625796.93  Generations: 32
 Score: 625626.01  Generations: 32
 Score: 625529.98  Generations: 18
 Score: 625841.09  Generations: 17
 Score: 625453.45  Generations: 34
 Score: 625470.11  Generations: 32
 Score: 625610.87  Generations: 29
 Score: 625601.1  Generations: 29
 Score: 625556.23  Generations: 28
523123
 Score: 625480.39  Generations: 402
 Score: 625531.82  Generations: 228
 Score: 625761.22  Generations: 142
 Score: 625552.79  Generations: 96
 Score: 625297.02  Generations: 112
 Score: 625348.87  Generations: 70
 Score: 625541.96  Generations: 59
 Score: 625633.62  Generations: 63
 Score: 625873.72  Generations: 40
 Score: 625706.46  Generations: 43
 Score: 625864.68  Generations: 35
 Score: 625631.78  Generations: 32
 Score: 625749.81  Generations: 29
 Score: 625610.62  Generations: 27
 Score: 625616.25  Generations: 23
 Score: 625504.34  Generations: 20
 Score: 625754.15  Generations: 19
 Score: 625500.63  Generations: 27
 Score: 625657.99  Generations: 27
 Score: 625600.82  Generations: 16
 Score: 625656.1  Generations: 32
 Score: 625459.8  Generations: 30
 Score: 625580.19  Generations: 28
 Score: 625653.26  Generations: 26
 Score: 625521.54  Generations: 26
612372
 Score: 625729.04  Generations: 702
 Score: 625661.61  Generations: 213
 Score: 625739.88  Generations: 137
 Score: 625657.76  Generations: 115
 Score: 625718.57  Generations: 76
 Score: 625611.27  Generations: 102
 Score: 625592.38  Generations: 57
 Score: 625784.43  Generations: 48
 Score: 625420.62  Generations: 46
 Score: 625480.97  Generations: 40
 Score: 625464.78  Generations: 34
 Score: 625533.35  Generations: 35
 Score: 625873.48  Generations: 28
 Score: 625904.26  Generations: 26
 Score: 625242.04  Generations: 41
 Score: 625629.3  Generations: 38
 Score: 625814.17  Generations: 21
 Score: 625557.64  Generations: 18
 Score: 625701.65  Generations: 18
 Score: 625687.65  Generations: 16
 Score: 625338.23  Generations: 31
 Score: 625615.72  Generations: 29
 Score: 625599.65  Generations: 27
 Score: 625590.24  Generations: 28
 Score: 625305.98  Generations: 27
702938
 Score: 625588.79  Generations: 413
 Score: 625763.11  Generations: 220
 Score: 625742.92  Generations: 131
 Score: 625507.17  Generations: 175
 Score: 625572.51  Generations: 82
 Score: 625308.45  Generations: 61
 Score: 625301.49  Generations: 100
 Score: 625723.13  Generations: 48
 Score: 625579.57  Generations: 43
 Score: 625369.76  Generations: 39
 Score: 625515.39  Generations: 35
 Score: 625057.35  Generations: 30
 Score: 625441.64  Generations: 47
 Score: 625694.91  Generations: 26
 Score: 625615.3  Generations: 24
 Score: 625909.16  Generations: 23
 Score: 625809.69  Generations: 23
 Score: 625499.05  Generations: 31
 Score: 625682.45  Generations: 17
 Score: 625790.37  Generations: 16
 Score: 625505.14  Generations: 33
 Score: 625542.44  Generations: 33
 Score: 625696.29  Generations: 30
 Score: 625504.79  Generations: 29
 Score: 625472.25  Generations: 29
811239
 Score: 625808.85  Generations: 400
 Score: 625716.99  Generations: 220
 Score: 625407.99  Generations: 229
 Score: 625527.42  Generations: 95
 Score: 625575.91  Generations: 81
 Score: 625383.58  Generations: 118
 Score: 625748.45  Generations: 54
 Score: 625678.41  Generations: 53
 Score: 625672.04  Generations: 43
 Score: 625180.52  Generations: 41
 Score: 625565.5  Generations: 50
 Score: 625888.73  Generations: 30
 Score: 625783.92  Generations: 29
 Score: 625572.31  Generations: 31
 Score: 625586.27  Generations: 45
 Score: 625612.9  Generations: 23
 Score: 625431.62  Generations: 19
 Score: 625629.03  Generations: 19
 Score: 625729.82  Generations: 18
 Score: 625205.96  Generations: 18
 Score: 625758.71  Generations: 33
 Score: 625694.25  Generations: 31
 Score: 625572.34  Generations: 31
 Score: 625550.01  Generations: 27
 Score: 625390.6  Generations: 27
919203
 Score: 625698.36  Generations: 427
 Score: 625551.12  Generations: 217
 Score: 625677.19  Generations: 148
 Score: 625559.64  Generations: 102
 Score: 625356.17  Generations: 88
 Score: 625610.15  Generations: 117
 Score: 625623.57  Generations: 56
 Score: 625479.41  Generations: 50
 Score: 625344.3  Generations: 73
 Score: 625479.87  Generations: 39
 Score: 625784.84  Generations: 33
 Score: 625525.57  Generations: 32
 Score: 625557.8  Generations: 28
 Score: 625299.44  Generations: 48
 Score: 625654.81  Generations: 21
 Score: 625877.87  Generations: 21
 Score: 625713.31  Generations: 21
 Score: 625881.89  Generations: 18
 Score: 625521.56  Generations: 35
 Score: 625952.36  Generations: 17
 Score: 625658.63  Generations: 34
 Score: 625761.34  Generations: 32
 Score: 625402.14  Generations: 30
 Score: 625791.4  Generations: 29
 Score: 625517.4  Generations: 27
102938
 Score: 625265.61  Generations: 436
 Score: 625779.74  Generations: 211
 Score: 625783.69  Generations: 240
 Score: 625809.11  Generations: 99
 Score: 625753.95  Generations: 85
 Score: 625442.18  Generations: 115
 Score: 625573.72  Generations: 53
 Score: 625787.23  Generations: 48
 Score: 625674.83  Generations: 44
 Score: 625679.12  Generations: 37
 Score: 625472.86  Generations: 32
 Score: 625762.7  Generations: 35
 Score: 625561.81  Generations: 30
 Score: 625571.93  Generations: 27
 Score: 625674.2  Generations: 24
 Score: 625278.4  Generations: 34
 Score: 625914.69  Generations: 24
 Score: 625713.02  Generations: 20
 Score: 625493.32  Generations: 18
 Score: 625167.53  Generations: 27
 Score: 625358.8  Generations: 33
 Score: 625623.46  Generations: 32
 Score: 625475.77  Generations: 28
 Score: 625762.91  Generations: 27
 Score: 625668.82  Generations: 27
112930
 Score: 625874.14  Generations: 448
 Score: 625532.17  Generations: 219
 Score: 625590.02  Generations: 147
 Score: 625672.47  Generations: 97
 Score: 625360.5  Generations: 134
 Score: 625760.97  Generations: 123
 Score: 625507.66  Generations: 58
 Score: 625613.33  Generations: 47
 Score: 625276.29  Generations: 43
 Score: 625554.38  Generations: 39
 Score: 625873.26  Generations: 36
 Score: 625699.56  Generations: 53
 Score: 625714.19  Generations: 28
 Score: 625496.45  Generations: 24
 Score: 625705.36  Generations: 22
 Score: 625708.65  Generations: 21
 Score: 625649.3  Generations: 21
 Score: 625573.8  Generations: 37
 Score: 625741.49  Generations: 19
 Score: 625673.97  Generations: 16
 Score: 625639.76  Generations: 33
 Score: 625933.39  Generations: 30
 Score: 625620.48  Generations: 30
 Score: 625283.17  Generations: 27
 Score: 625762.42  Generations: 27
123290
 Score: 625607.36  Generations: 430
 Score: 625635.26  Generations: 199
 Score: 625736.69  Generations: 148
 Score: 625570.06  Generations: 173
 Score: 625606.37  Generations: 86
 Score: 625642.07  Generations: 68
 Score: 625500.43  Generations: 57
 Score: 625765.05  Generations: 51
 Score: 625349.82  Generations: 72
 Score: 625938.91  Generations: 41
 Score: 625513.36  Generations: 60
 Score: 626005.27  Generations: 29
 Score: 625696.52  Generations: 30
 Score: 625661.57  Generations: 26
 Score: 625775.77  Generations: 22
 Score: 625728.89  Generations: 40
 Score: 625524.1  Generations: 20
 Score: 625532.29  Generations: 19
 Score: 625361.94  Generations: 17
 Score: 625364.4  Generations: 18
 Score: 625676.52  Generations: 31
 Score: 625723.24  Generations: 32
 Score: 625436.7  Generations: 30
 Score: 625511.91  Generations: 28
 Score: 625534.93  Generations: 28
139248
 Score: 625678.35  Generations: 426
 Score: 625702.53  Generations: 224
 Score: 625285.87  Generations: 136
 Score: 625806.19  Generations: 102
 Score: 625546.49  Generations: 137
 Score: 625648.36  Generations: 120
 Score: 625657.61  Generations: 60
 Score: 625622.69  Generations: 47
 Score: 625583.32  Generations: 46
 Score: 625705.53  Generations: 39
 Score: 625709.86  Generations: 34
 Score: 625522.2  Generations: 50
 Score: 625558.77  Generations: 48
 Score: 625545.86  Generations: 25
 Score: 625634.77  Generations: 27
 Score: 625845.76  Generations: 23
 Score: 625468.55  Generations: 20
 Score: 625843.24  Generations: 19
 Score: 625744.21  Generations: 18
 Score: 625638.21  Generations: 17
 Score: 625306.96  Generations: 31
 Score: 625386.19  Generations: 29
 Score: 625376.41  Generations: 29
 Score: 625791.72  Generations: 28
 Score: 625845.23  Generations: 28
149302
 Score: 625746.73  Generations: 408
 Score: 625703.85  Generations: 206
 Score: 625377.61  Generations: 174
 Score: 625825.79  Generations: 99
 Score: 625664.81  Generations: 114
 Score: 625349.74  Generations: 117
 Score: 625659.44  Generations: 55
 Score: 625484.84  Generations: 47
 Score: 625709.59  Generations: 41
 Score: 625883.59  Generations: 40
 Score: 625407.63  Generations: 56
 Score: 625517.08  Generations: 32
 Score: 625403.24  Generations: 28
 Score: 625426.05  Generations: 27
 Score: 625388.72  Generations: 24
 Score: 625857.92  Generations: 22
 Score: 625353.05  Generations: 21
 Score: 625835.76  Generations: 20
 Score: 625626.23  Generations: 17
 Score: 625611.06  Generations: 29
 Score: 625727.77  Generations: 33
 Score: 625555.12  Generations: 31
 Score: 625465.8  Generations: 30
 Score: 625537.51  Generations: 30
 Score: 625615.57  Generations: 27
159320
 Score: 625317.64  Generations: 694
 Score: 625324.34  Generations: 335
 Score: 625598.67  Generations: 135
 Score: 625856.29  Generations: 112
 Score: 625505.42  Generations: 82
 Score: 625490.92  Generations: 77
 Score: 625176.97  Generations: 59
 Score: 625783.05  Generations: 48
 Score: 625850.42  Generations: 43
 Score: 625838.68  Generations: 39
 Score: 625646.08  Generations: 39
 Score: 625565.93  Generations: 32
 Score: 625575.21  Generations: 29
 Score: 625355.23  Generations: 46
 Score: 625797.62  Generations: 25
 Score: 625765.53  Generations: 21
 Score: 625261.43  Generations: 21
 Score: 625675.7  Generations: 18
 Score: 625444.01  Generations: 17
 Score: 625482.22  Generations: 28
 Score: 625592.7  Generations: 32
 Score: 625629.18  Generations: 32
 Score: 625441.48  Generations: 29
 Score: 625684.66  Generations: 29
 Score: 625736.77  Generations: 26
